ml_review_id,item_id,confidence,product_id,product_name,product_url,customer_name,customer_email,rating,title,comment,status,verified_purchase,created_at,image_urls
3066337046,MLA841760008,high,353605686,Boxer Lupo Microfibra Sin Costuras,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costuras-modelo-671-003/,Cliente Mercado Libre,ml-review-3066337046@import.lupo.local,5,Excelente,"Excelente. Exelente calidad , muy buenos.",approved,True,2026-08-11T19:36:43Z,[]
3034273246,MLA841760008,high,353605686,Boxer Lupo Microfibra Sin Costuras,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costuras-modelo-671-003/,Cliente Mercado Libre,ml-review-3034273246@import.lupo.local,4,Muy bueno,"Muy bueno. Tela: suave y elástico. Calce: súper cómodo, me fue bien el talle g para mí que mido 1. 70 y peso 85 kg. Compra sin problemas.",approved,True,2026-07-24T15:34:08Z,[]
2969397275,MLA841760008,high,353605686,Boxer Lupo Microfibra Sin Costuras,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costuras-modelo-671-003/,Cliente Mercado Libre,ml-review-2969397275@import.lupo.local,5,Excelente,Excelente. Son excelentes. Mi marido los ama.,approved,True,2026-06-22T20:11:51Z,[]
2973480768,MLA841760008,high,353605686,Boxer Lupo Microfibra Sin Costuras,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costuras-modelo-671-003/,Cliente Mercado Libre,ml-review-2973480768@import.lupo.local,5,Excelente,Excelente. Sexi.,approved,True,2026-06-18T22:02:34Z,[]
2956432960,MLA841760008,high,353605686,Boxer Lupo Microfibra Sin Costuras,https://multilupo.com.ar/productos/boxer-lupo-microfibra-sin-costuras-modelo-671-003/,Cliente Mercado Libre,ml-review-2956432960@import.lupo.local,5,Excelente,"Excelente. Exactamente como en la foto, buen producto.",approved,True,2026-06-09T11:57:23Z,[]
84354398,MLA858191538,high,198580021,Medias Lupo Running-fitness Dry Fit 3360 Pack x4,https://multilupo.com.ar/productos/media-lupo-running-fitness-dry-fit-mod-3360-pack-x-4/,Cliente Mercado Libre,ml-review-84354398@import.lupo.local,5,Muy buena,"Muy buena. Muy buena calidad e precio,realmente no pasa la transpiración,el pie queda sequito!.",approved,True,2020-11-04T12:45:07Z,[]
2688525498,MLA858191538,high,198580021,Medias Lupo Running-fitness Dry Fit 3360 Pack x4,https://multilupo.com.ar/productos/media-lupo-running-fitness-dry-fit-mod-3360-pack-x-4/,Cliente Mercado Libre,ml-review-2688525498@import.lupo.local,5,Excelente,Excelente. Excelente.,approved,True,2026-01-17T12:19:44Z,[]
3051408443,MLA858191538,high,198580021,Medias Lupo Running-fitness Dry Fit 3360 Pack x4,https://multilupo.com.ar/productos/media-lupo-running-fitness-dry-fit-mod-3360-pack-x-4/,Cliente Mercado Libre,ml-review-3051408443@import.lupo.local,5,Excelente,Excelente. Me encanto!.,approved,True,2026-08-09T19:15:35Z,[]
2619999451,MLA858191538,high,198580021,Medias Lupo Running-fitness Dry Fit 3360 Pack x4,https://multilupo.com.ar/productos/media-lupo-running-fitness-dry-fit-mod-3360-pack-x-4/,Cliente Mercado Libre,ml-review-2619999451@import.lupo.local,5,Excelente,Excelente. Secan rpido y son buena calidad.,approved,True,2025-12-20T21:42:05Z,[]
2572012243,MLA858191538,high,198580021,Medias Lupo Running-fitness Dry Fit 3360 Pack x4,https://multilupo.com.ar/productos/media-lupo-running-fitness-dry-fit-mod-3360-pack-x-4/,Cliente Mercado Libre,ml-review-2572012243@import.lupo.local,5,Excelente,Excelente. Muy buenas y absorventes.,approved,True,2025-12-05T03:19:57Z,[]
